name,yahoo_ticker,isin,country,exchange,sector,enabled
Liechtensteinische Landesbank AG,LLBN.SW,LI0355147575,CH,SIX,,true
Eli Lilly and Company,LLY.SW,US5324571083,CH,SIX,,true
Lastminute.com NV,LMN.SW,NL0010733960,CH,SIX,,true
Logitech International S.A.,LOGN.SW,CH0025751329,CH,SIX,,true
Lonza Group AG,LONN.SW,CH0013841017,CH,SIX,,true
Luzerner Kantonalbank AG,LUKN.SW,CH0011693600,CH,SIX,,true
Mercedes-Benz Group AG,MBG.SW,,CH,SIX,,true
MCH Group AG,MCHN.SW,CH0039542854,CH,SIX,,true
Medartis Holding AG,MED.SW,CH0386200239,CH,SIX,,true
medmix AG,MEDX.SW,CH1129677105,CH,SIX,,true
Metall Zug AG,METN.SW,CH0039821084,CH,SIX,,true
Mikron Holding AG,MIKN.SW,CH0003390066,CH,SIX,,true
3M Company,MMM.SW,US88579Y1010,CH,SIX,,true
MINDMAZE THERAPEUTICS HOLDING SA,MMTX.SW,CH1251125998,CH,SIX,,true
Mobimo Hldg,MOBN.SW,CH0011108872,CH,SIX,,true
Molecular Partners AG,MOLN.SW,CH0256379097,CH,SIX,,true
Medacta Group SA,MOVE.SW,CH0468525222,CH,SIX,,true
mobilezone ag,MOZN.SW,CH0276837694,CH,SIX,,true
Meier Tobler Group AG,MTG.SW,CH0208062627,CH,SIX,,true
Nebag ag,NBEN.SW,CH0005059438,CH,SIX,,true
NATURENERGIE,NEAG.SW,CH0039651184,CH,SIX,,true
Nestle S.A.,NESN.SW,CH0038863350,CH,SIX,,true
NIBE Industrier AB ser. B,NIBEB.SW,SE0015988019,CH,SIX,,true
Novartis AG,NOVN.SW,CH0012005267,CH,SIX,,true
Novavest Real Estate Ag,NREN.SW,CH0212186248,CH,SIX,,true
NVIDIA Corporation,NVDA.SW,,CH,SIX,,true
Newron Pharmaceuticals SpA,NWRN.SW,IT0004147952,CH,SIX,,true
OC Oerlikon Corp AG,OERL.SW,CH0000816824,CH,SIX,,true
Orell Fuessli Holding AG,OFN.SW,CH0003420806,CH,SIX,,true
Orior AG,ORON.SW,CH0111677362,CH,SIX,,true
Peach Property Group AG,PEAN.SW,CH0118530366,CH,SIX,,true
Perrot Duval Holding SA,PEDU.SW,CH0252620700,CH,SIX,,true
Private Equity Holding AG,PEHN.SW,CH0006089921,CH,SIX,,true
Partners Group Holding AG,PGHN.SW,CH0024608827,CH,SIX,,true
Plazza AG,PLAN.SW,CH0284142913,CH,SIX,,true
PHOENIX N AG,PMN.SW,CH1261338102,CH,SIX,,true
PolyPeptide Group AG,PPGN.SW,CH1110760852,CH,SIX,,true
PSP Swiss Property AG,PSPN.SW,CH0018294154,CH,SIX,,true
SXI Real Estate® Shrs Broad TR,REAL.SW,CH0042660313,CH,SIX,,true
ROMANDE ENERGIE SA,REHN.SW,CH1263676327,CH,SIX,,true
Rieter Holding AG,RIEN.SW,CH0003671440,CH,SIX,,true
Roche Holding AG,RO.SW,CH0012032113,CH,SIX,,true
Roche Holding AG,ROP.SW,CH1499059983,CH,SIX,,true
R&S GROUP HOLDING AG,RSGN.SW,CH1107979838,CH,SIX,,true
Santhera Pharmaceuticals Holding AG,SANN.SW,CH1276028821,CH,SIX,,true
Schindler Holding AG,SCHN.SW,CH0024638212,CH,SIX,,true
